"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categories/10","url","categoryName"
"Rocío Mora Abogada","4.9","243","Av. d'Aragó, 30, piso 8","València","Valencia","ES","https://www.rocio-mora-abogada.es/","+34 646 97 33 93","Abogado especialista en derecho de extranjería",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Roc%C3%ADo%20Mora%20Abogada&query_place_id=ChIJTUU1e2BPYA0RkJl_7Q-xnng","Abogado especialista en derecho de extranjería"
"LM Lawyers","4.8","53","Gran Via del Marqués del Túria, 49, 1","València","Valencia","ES","https://lmlawyers.es/",,"Abogado especialista en derecho de extranjería","Abogado especializado en propiedad inmobiliaria",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=LM%20Lawyers&query_place_id=ChIJn96xqrpJYA0RDU6FoDCSFqo","Abogado especialista en derecho de extranjería"
"Ana Hervás Abogada","4.9","114","C/ de l'Almirall Cadarso, 5-2","València","Valencia","ES","https://anahervas.com/","+34 685 88 63 11","Abogado especialista en derecho de extranjería",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ana%20Herv%C3%A1s%20Abogada&query_place_id=ChIJIcYtnh5JYA0R7vNQVW0gugw","Abogado especialista en derecho de extranjería"
"ABOGADOS DE EXTRANJERIA - SF","5","58","Carrer d'Èol, 10","València","Valencia","ES","https://sfabogadosextranjeria.com/","+34 622 04 94 07","Abogado especialista en derecho de extranjería","Servicio de naturalización e inmigración",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ABOGADOS%20DE%20EXTRANJERIA%20-%20SF&query_place_id=ChIJq-XG1UlJYA0RvxUrtIgnb_8","Abogado especialista en derecho de extranjería"
"SigmaSeisAbogados","4.9","341","Carrer de Cotanda, 2, Piso 8, Puerta 18","València","Valencia","ES","https://sigmaseisabogados.com/","+34 963 23 08 72","Abogado especialista en derecho de extranjería",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=SigmaSeisAbogados&query_place_id=ChIJ-yp53rNJYA0R8MXv-5ND_PY","Abogado especialista en derecho de extranjería"
"Díaz & Asociados | Abogados Extranjeria y Penal Valencia","4.9","115","Av. del Marqués de Sotelo, 5","València","Valencia","ES","https://diazyasociados.es/abogado-extranjeria-valencia/","+34 960 73 07 78","Abogado especialista en derecho de extranjería","Abogado penalista","Abogado",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=D%C3%ADaz%20%26%20Asociados%20%7C%20Abogados%20Extranjeria%20y%20Penal%20Valencia&query_place_id=ChIJeYVp0k5PYA0R_pC6lTE-0tw","Abogado especialista en derecho de extranjería"
"Hispana Legal Abogados","4.8","235","C/ de la Fonteta de Sant Lluís, 46, Bajo-Derecha","València","Valencia","ES","http://www.hispanalegal.com/","+34 963 18 02 22","Abogado especialista en derecho de extranjería","Servicio de naturalización e inmigración","Proveedor de servicios de asistencia jurídica",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hispana%20Legal%20Abogados&query_place_id=ChIJ75X-WzZPYA0RYNfU-HMm9R0","Abogado especialista en derecho de extranjería"
"Palma Abogados de Extranjería","4.9","131","C/ de Ciril Amorós, 58, Puerta 1","València","Valencia","ES","https://palmaabogadosextranjeria.com/","+34 633 59 67 27","Abogado especialista en derecho de extranjería",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Palma%20Abogados%20de%20Extranjer%C3%ADa&query_place_id=ChIJHRw1vyJJYA0Ra9ZpLL5qyq0","Abogado especialista en derecho de extranjería"
"Gestoría Gesto Inmigrantes","4.6","18","C/ de Julio Antonio, 3, 1 Puerta 2","València","Valencia","ES","https://www.gestorinmigrantes.es/","+34 624 02 25 39","Gestoría",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Gestor%C3%ADa%20Gesto%20Inmigrantes&query_place_id=ChIJ05tjh9hPYA0Rp33KK9vopT4","Gestoría"
"Oficina Jurídica","4.7","13","C/ de l'Almirall Cadarso, 5, 1º","València","Valencia","ES","http://abogadourbanismovalencia.com/","+34 669 14 05 26","Bufete",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Oficina%20Jur%C3%ADdica&query_place_id=ChIJqf6cOLZIYA0RojO1QXfYrig","Bufete"
"Mi Abogado Extranjería","4.9","346","Carrer del Periodista Azzati, 5, Planta 5, puerta 9 A","València","Valencia","ES","https://miabogadoextranjeria.com/","+34 633 92 28 33","Abogado especialista en derecho de extranjería",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mi%20Abogado%20Extranjer%C3%ADa&query_place_id=ChIJSftowY5JYA0R2IHJNTk4Fi4","Abogado especialista en derecho de extranjería"
"Wiselegal Abogados","4.9","234","Gran Via del Marqués del Túria, 69","València","Valencia","ES","https://www.wiselegal.es/","+34 608 23 53 61","Abogado especialista en derecho de extranjería",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Wiselegal%20Abogados&query_place_id=ChIJRUWJfFdJYA0RMrTv9NL7NDg","Abogado especialista en derecho de extranjería"
"Mael Asesores","5","255","Carrer del Matemàtic Marzal, 1, piso 1, puerta 1","València","Valencia","ES","https://maelasesores.com/","+34 621 38 41 10","Abogado especialista en derecho de extranjería","Asesor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mael%20Asesores&query_place_id=ChIJcZDMGr5PYA0R4A_gJ-2Bkc4","Abogado especialista en derecho de extranjería"
"Barcelona Extranjería Abogados, SLP","4.8","1582","Carrer de València, 243, 245","Barcelona","Barcelona","ES","https://www.barcelonaextranjeria.com/","+34 932 72 29 28","Abogado","Servicio de naturalización e inmigración","Abogado especialista en derecho de extranjería","Bufete","Oficina de abogado defensor de oficio",,,,,,,"https://www.google.com/maps/search/?api=1&query=Barcelona%20Extranjer%C3%ADa%20Abogados%2C%20SLP&query_place_id=ChIJD4BX8pKipBIRb3Apqx87oHw","Abogado"
"Trafico Ayuda Abogados","4.9","621","Gran Via del Marqués del Túria, 49, Planta 7, Oficina 13","València","Valencia","ES","https://traficoayuda.es/abogado-accidentes-trafico-valencia/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb_website&utm_id=web","+34 649 53 72 14","Abogado de lesiones personales","Abogado administrativo","Civil law attorney","Abogado especialista en derecho de seguros","Abogado","Servicios legales",,,,,,"https://www.google.com/maps/search/?api=1&query=Trafico%20Ayuda%20Abogados&query_place_id=ChIJZ3Req7FIYA0Rj3oxyRy2DQI","Abogado de lesiones personales"
"GIEX LEGAL, COOP. V","4.9","739","Vicente Parra, C. de Campos Crespo, 7 esquina","València","Valencia","ES","http://www.giexlegal.es/","+34 960 13 15 84","Asesor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=GIEX%20LEGAL%2C%20COOP.%20V&query_place_id=ChIJBVTgXBxPYA0RFMyHeS77vgQ","Asesor"
"Abogados Leopolis","4.7","146","Carrer de Santa Teresa, 25 Pasaje, local 8","Mislata","Valencia","ES","http://www.abogadosleopolis.com/","+34 651 45 09 58","Abogado especialista en derecho de extranjería",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Abogados%20Leopolis&query_place_id=ChIJk6Dg9XdPYA0RD3znLoMo0yU","Abogado especialista en derecho de extranjería"
"Diana Legales Abogados","4.8","246","Carrer de les Garrigues, nº3, 5ºA","València","Valencia","ES","https://dianalegales.com/","+34 634 30 22 57","Abogado especialista en derecho de extranjería","Servicio de naturalización e inmigración","Abogado","Proveedor de servicios de asistencia jurídica",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Diana%20Legales%20Abogados&query_place_id=ChIJRdReskNPYA0RD5vGBJ38FHk","Abogado especialista en derecho de extranjería"
"PK Abogados","4.6","98","C/ de Sant Vicent Màrtir, 119, 1","València","Valencia","ES","http://www.pkabogados.com/","+34 681 90 07 16","Abogado especialista en derecho de extranjería","Abogado especializado en quiebras y concursos","Abogado especializado en propiedad inmobiliaria",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=PK%20Abogados&query_place_id=ChIJBerJRcVPYA0Rv0ucm7knTLE","Abogado especialista en derecho de extranjería"
"I Soluciones España","4.9","13","Carrer de Matias Perelló, 4","València","Valencia","ES","https://www.isolucionesespana.es/","+34 963 00 67 53","Abogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=I%20Soluciones%20Espa%C3%B1a&query_place_id=ChIJeRoj-9lJYA0RLcPhhywGGyk","Abogado"
"Olguin Abogados","4.8","362","C/ de Sant Vicent Màrtir, 75, Piso 2, Pta. 3","València","Valencia","ES","http://www.olguinabogados.com/","+34 648 82 21 74","Abogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Olguin%20Abogados&query_place_id=ChIJT0FpUkhPYA0RnhUHs66L_ZY","Abogado"
"Giménez y Mata Abogados","4.9","134","Carrer de Colón, nº 4, piso 3","València","Valencia","ES","http://gimenezymataabogados.es/","+34 722 63 04 32","Bufete",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Gim%C3%A9nez%20y%20Mata%20Abogados&query_place_id=ChIJVVUFgqNaYA0RTH5MJnAU6Q0","Bufete"
"HOL - Gestoría Migratoria para Cubanos","5","190","C/ de Vicente Beltrán Grimal, 24, 1-D","València","Valencia","ES","https://gestoriahol.com/","+34 642 06 62 83","Gestoría","Servicios legales",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=HOL%20-%20Gestor%C3%ADa%20Migratoria%20para%20Cubanos&query_place_id=ChIJ0x0LiBg5g4IR3pzId98xnoA","Gestoría"
"Oyba Abogados","1","1","Ergüiñarro Kalea, 2, local 104","Arrasate / Mondragón","Gipuzkoa","ES","http://www.oyba.es/","+34 943 84 90 77","Abogado especialista en derecho de extranjería","Abogado penalista","Abogado matrimonialista","Abogado de Derecho de familia","Abogado","Abogado de lesiones personales",,,,,,"https://www.google.com/maps/search/?api=1&query=Oyba%20Abogados&query_place_id=ChIJ28zCWobWTw0RcuumWbD33To","Abogado especialista en derecho de extranjería"
"GONZÁLEZ & TODA ABOGADOS","4.2","32","Gran Vía Juan Carlos I, 65, Entreplanta Centro","Logroño","La Rioja","ES","https://www.gytabogados.com/","+34 941 04 70 82","Abogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=GONZ%C3%81LEZ%20%26%20TODA%20ABOGADOS&query_place_id=ChIJPTYitkmrWg0RZj1jYMHX6ag","Abogado"
"Eric Niso Bouzo - Abogado","4.9","44","Fundadora de las Siervas de Jesus Kalea, 29, 1º - Ofic. 21","Vitoria-Gasteiz","Álava","ES","http://www.nisoabogado.com/","+34 662 29 20 92","Abogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Eric%20Niso%20Bouzo%20-%20Abogado&query_place_id=ChIJa8HDmX3DTw0R8KXKZIra5kg","Abogado"
"ABOGALEGIS-DESPACHO DE ABOGADOS","5","18","C. de Rosalía de Castro, 14, local d","Zaragoza","Zaragoza","ES","http://www.abogalegis.com/","+34 641 23 79 29","Abogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ABOGALEGIS-DESPACHO%20DE%20ABOGADOS&query_place_id=ChIJea_4HQAVWQ0RUPRcZPxdKUc","Abogado"
"Graciela Rodríguez","5","4","C. Álvarez de Abreu, 70, 1ª Planta, Oficina núm. 5","Santa Cruz de la Palma","Santa Cruz de Tenerife","ES","https://gracielarodriguezblog.wordpress.com/","+34 610 98 85 02","Abogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Graciela%20Rodr%C3%ADguez&query_place_id=ChIJwZ6KzavuawwRDXwFeLeBn3E","Abogado"
"Boudevin Abogados","5","70","Gran Vía Juan Carlos I, 33-35, entreplanta A","Logroño","La Rioja","ES","https://www.boudevin-abogadoslogrono.com/abogado-penal-logrono","+34 640 89 54 91","Abogado especialista en derecho de extranjería","Abogado penalista","Abogado matrimonialista","Abogado de Derecho de familia","Abogado","Abogado laboralista",,,,,,"https://www.google.com/maps/search/?api=1&query=Boudevin%20Abogados&query_place_id=ChIJk-ixO9hNRQ0RC4D5THPKp70","Abogado especialista en derecho de extranjería"
"Gestoría Extranjería Valencia","5","32","Av. de les Corts Valencianes, 58","València","Valencia","ES","https://gestoriaextranjeriavalencia.com/","+34 614 79 98 68","Gestoría","Servicio de naturalización e inmigración",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Gestor%C3%ADa%20Extranjer%C3%ADa%20Valencia&query_place_id=ChIJz7qvdbNPYA0RjMUJziBSd_c","Gestoría"
"David Reyes Taboada - Despacho de abogados en Puerto del Rosario","5","7","C. Francisco Pi y Arsuaga, 7, 1º D, Despacho 3","Puerto del Rosario","Las Palmas","ES","http://www.davidreyes.es/","+34 615 73 45 90","Abogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=David%20Reyes%20Taboada%20-%20Despacho%20de%20abogados%20en%20Puerto%20del%20Rosario&query_place_id=ChIJv3z0W2jHRwwRUlCc74TakSo","Abogado"
"Juan Ortiz de Landazuri Suárez - Abogado","5","13","Gran Vía Santiago Ramón y Cajal, 3, 2º Dcha","Zaragoza","Zaragoza","ES","http://www.delandazuriabogado.com/","+34 620 46 90 93","Abogado","Administrador de la propiedad",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Juan%20Ortiz%20de%20Landazuri%20Su%C3%A1rez%20-%20Abogado&query_place_id=ChIJ82IqhFkUWQ0RV8Afm4pQfcU","Abogado"
"EX24 | Legal","4.9","475","P.º de la Independencia, 8, 8º C","Zaragoza","Zaragoza","ES","http://www.extranjeria24h.com/","+34 601 02 38 20","Abogado especialista en derecho de extranjería",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=EX24%20%7C%20Legal&query_place_id=ChIJn6DCNukUWQ0RO8YMmpgoQCk","Abogado especialista en derecho de extranjería"
"Montse Esteve Abogados","5","41","C. del Parque, 18, Bajo Derecha","Huesca","Huesca","ES","https://mesteveabogados.com/","+34 649 13 31 11","Abogado especialista en derecho de extranjería",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Montse%20Esteve%20Abogados&query_place_id=ChIJ8RqU4ddFWA0RFFwFVIvsVco","Abogado especialista en derecho de extranjería"
"Víctor Carrera Abogado Laboralista","5","12","C. de S. Miguel, 1, 4º, Dcha","Zaragoza","Zaragoza","ES","https://www.abogadovictorcarrera.com/","+34 695 45 36 73","Abogado especialista en derecho de extranjería","Abogado laboralista","Abogado","Abogado de lesiones personales","Abogado especializado en seguridad social",,,,,,,"https://www.google.com/maps/search/?api=1&query=V%C3%ADctor%20Carrera%20Abogado%20Laboralista&query_place_id=ChIJ-6JH31oVWQ0RFao9r7FVPnw","Abogado especialista en derecho de extranjería"
"Abogado Bailo Serrano","4.7","28","C. de Pedro Arnal Cavero, nº23","Zaragoza","Zaragoza","ES","http://www.abogadobailoserrano.com/","+34 634 50 33 47","Abogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Abogado%20Bailo%20Serrano&query_place_id=ChIJVw3d1F8UWQ0RuV--KNeq134","Abogado"
"BFM","5","27","Gran Vía Juan Carlos I, 34, 1º dcha 0","Logroño","La Rioja","ES","http://bfmabogados.com/","+34 941 20 33 54","Abogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BFM&query_place_id=ChIJzwkDVEerWg0R-m7N3nnGQ8g","Abogado"
"Gestoría de Extranjería - Prado Telles","5","14",,,,,"https://gestoriapradotelles.com/quienes-somos/","+34 623 51 39 15","Gestoría","Service establishment",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Gestor%C3%ADa%20de%20Extranjer%C3%ADa%20-%20Prado%20Telles&query_place_id=ChIJh9MCfkU9VmkRM_xvbTgRhIo","Gestoría"
"Gómez Salvador Abogados","4.7","26","C/ Monasterio de Irache, 24","Pamplona","Navarra","ES","http://www.gomezsalvador.es/","+34 948 21 03 58","Abogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=G%C3%B3mez%20Salvador%20Abogados&query_place_id=ChIJb5L9s_6SUA0RhZm-hDEUviA","Abogado"
"Peiró Advocats","3.8","9","Carrer Arc del Pont, 3, 2º 3ª","Lleida","Lleida","ES","http://www.peiroadvocats.com/","+34 973 23 28 57","Abogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Peir%C3%B3%20Advocats&query_place_id=ChIJda-GJmngphIRDrdUUOJhJKk","Abogado"
"Lleyda Abós | ABOGADOS",,,"Calle de Joaquín Costa, 12, 1º Izquierda","Zaragoza","Zaragoza","ES","http://lleydaabogados.com/","+34 932 72 30 15","Bufete",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lleyda%20Ab%C3%B3s%20%7C%20ABOGADOS&query_place_id=ChIJUQ87RO8UWQ0Rt1BkyJAq23E","Bufete"
"Mediavilla. Asesoría de Empresas & Abogados","4.8","32","Calle Pdte. Leopoldo Calvo Sotelo, 16, 1 Izda","Logroño","La Rioja","ES","https://www.asesoriamediavilla.es/","+34 941 24 21 09","Abogado","Gestión de divorcios","Asesoría laboral","Asesor fiscal","Gestoría",,,,,,,"https://www.google.com/maps/search/?api=1&query=Mediavilla.%20Asesor%C3%ADa%20de%20Empresas%20%26%20Abogados&query_place_id=ChIJFbm9D0SrWg0Rr-E1HrOqh2M","Abogado"
"Paloma Martínez | Abogada Laboralista en Zaragoza","5","20","Calle de Joaquín Costa, 8, 4 DERECHA","Zaragoza","Zaragoza","ES","https://palomamartinezabogada.com/","+34 976 22 74 35","Abogado","Abogado laboralista",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Paloma%20Mart%C3%ADnez%20%7C%20Abogada%20Laboralista%20en%20Zaragoza&query_place_id=ChIJC1L3siwVWQ0RGpFe-UjGDhs","Abogado"
"LOPEZ BAÑARES ABOGADOS","5","5","Gran Vía Juan Carlos I, 65, Ent. Centro","Logroño","La Rioja","ES","http://www.lopezbanaresabogados.es/","+34 616 69 75 26","Abogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=LOPEZ%20BA%C3%91ARES%20ABOGADOS&query_place_id=ChIJ6ZGZ8C6rWg0RJx7MaKePHQo","Abogado"
"Sola Ramón Abogados","5","23","C. de S. Miguel, 14, Planta 1, Oficina 3","Zaragoza","Zaragoza","ES","https://www.solayramonabogados.com/","+34 625 71 54 66","Abogado","Abogado administrativo","Abogado especializado en quiebras y concursos","Abogado penalista","Abogado matrimonialista","Asesoría laboral","Abogado especializado en planificación patrimonial","Planificador financiero","Abogado fiscal","Asesor fiscal",,"https://www.google.com/maps/search/?api=1&query=Sola%20Ram%C3%B3n%20Abogados&query_place_id=ChIJX9ppE3oVWQ0R6YOUhU0B5mE","Abogado"
"KPMG en Zaragoza","2.7","9","Av. de Gómez Laguna, 25","Zaragoza","Zaragoza","ES","https://kpmg.com/es/es.html","+34 976 45 81 33","Asesor",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=KPMG%20en%20Zaragoza&query_place_id=ChIJT2Q55CtrWQ0R_5HBJQZhrzI","Asesor"
"Asesoría en Vitoria-Gasteiz | Despachos BK ETL GLOBAL","4.6","77","Avenida Beato Tomás de Zumárraga, 7","Vitoria-Gasteiz","Álava","ES","https://www.bketl.es/","+34 945 15 51 39","Asesor","Contable","Abogado especializado en quiebras y concursos","Abogado","Abogado especializado en derecho laboral","Planificador financiero","Corredor de seguros","Bufete","Asesor fiscal","Abogado fiscal",,"https://www.google.com/maps/search/?api=1&query=Asesor%C3%ADa%20en%20Vitoria-Gasteiz%20%7C%20Despachos%20BK%20ETL%20GLOBAL&query_place_id=ChIJCTSPKRXCTw0Rgzz_PnaOfIA","Asesor"
"PIB Group Iberia Zaragoza","4.9","675","Av. de Gómez Laguna, 25, 3º B","Zaragoza","Zaragoza","ES","https://pibgroupiberia.com/ubicacion/zaragoza/?utm_source=google&utm_medium=organic&utm_campaign=gbp_zaragoza","+34 976 22 42 52","Corredor de seguros","Agencia de seguros para el hogar","Servicio de inversiones","Agencia de seguros de vida","Agencia de seguros de motocicletas","Agencia de seguros de alquiler",,,,,,"https://www.google.com/maps/search/?api=1&query=PIB%20Group%20Iberia%20Zaragoza&query_place_id=ChIJGdLhoO4UWQ0RijUIG3_yzUk","Corredor de seguros"
"Abogado Fermín Huarte Abarzuza",,,"P.º García el de Nájera, 17, 1A","Pamplona","Navarra","ES","https://huarteabarzuza.com/","+34 644 63 95 23","Abogado laboralista",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Abogado%20Ferm%C3%ADn%20Huarte%20Abarzuza&query_place_id=ChIJB1vA3zOTUA0RemRCueXkEFA","Abogado laboralista"
"Oana Andreea Nicolaescu",,,"Plaça de Sant Joan, 8, 4, 5","Lleida","Lleida","ES","https://abogadarumanalleida.com/","+34 636 44 29 95","Abogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Oana%20Andreea%20Nicolaescu&query_place_id=ChIJF2n8GDrhphIRfnS3oFByKto","Abogado"
"Cuatrecasas","5","2",":, Av. de Juan Pablo II, 35, planta 14","Zaragoza","Zaragoza","ES","https://www.cuatrecasas.com/es/spain/oficinas/zaragoza","+34 976 46 81 30","Abogado","Abogado administrativo","Abogado especializado en quiebras y concursos","Abogado especializado en derecho laboral","Abogado especializado en planificación patrimonial","Bufete","Servicios legales","Abogado de patentes","Abogado fiscal","Abogado especializado en derecho procesal",,"https://www.google.com/maps/search/?api=1&query=Cuatrecasas&query_place_id=ChIJiyyJyegUWQ0RCy2Rwhuhowg","Abogado"
"Andreu Abogados","3","10","Avinguda dels Països Catalans, 61","Balaguer","Lleida","ES","http://www.andreuadvocats.cat/","+34 973 44 80 21","Abogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Andreu%20Abogados&query_place_id=ChIJ13JY-LzxphIRb_PcfPimpJQ","Abogado"
"Marcheix Abogados","4.9","36","C. Pablo Sarasate, 6, Planta 1, oficina 6","Tudela","Navarra","ES","https://www.marcheixabogados.es/","+34 655 83 37 88","Abogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Marcheix%20Abogados&query_place_id=ChIJwcxkSmdPWg0RbrK82QlRiIA","Abogado"
"Real e Ilustre Colegio de Abogados de Zaragoza (REICAZ)","4","118","C. de Don Jaime I, 18","Zaragoza","Zaragoza","ES","http://www.reicaz.org.es/","+34 976 20 42 20","Asociación u organización",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Real%20e%20Ilustre%20Colegio%20de%20Abogados%20de%20Zaragoza%20(REICAZ)&query_place_id=ChIJFdey2e0UWQ0RieLyMNVxqi8","Asociación u organización"
"David Vicente - Abogado Accidentes de Tráfico en Lleida","4.9","23","Av. Prat de la Riba, 59","Lleida","Lleida","ES","http://accidentes.dvicenteabogados.com/","+34 973 93 23 67","Abogado de lesiones personales",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=David%20Vicente%20-%20Abogado%20Accidentes%20de%20Tr%C3%A1fico%20en%20Lleida&query_place_id=ChIJ2Y-d6GjgphIRI7m4cL7SdnQ","Abogado de lesiones personales"
